,srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,tat_in_days
0,2829088,0,3,560011,233,233,131,0,0.002051661450425046,560093,2017-07-30,2017-07-27,2018-02-01,4467,2018-02-06,10
1,2829866,1,2,110018,233,233,228,0,0.002051661450425046,110034,2017-07-17,2017-01-25,2018-02-01,4388,2018-02-08,12
2,2894489,1,3,560011,233,233,228,2,0.002051661450425046,590014,2018-01-12,2018-01-11,2018-02-21,4460,2018-02-28,9
3,2876708,1,2,110018,233,233,228,1,0.002051661450425046,250110,2017-08-07,2017-05-21,2018-02-16,4388,2018-02-26,12
4,2890283,0,22,400104,233,233,131,2,0.002051661450425046,496001,2017-11-10,2017-09-22,2018-02-20,4581,2018-02-23,12
5,2897438,3,6,160059,233,233,131,1,0.002051661450425046,160036,2017-12-12,2017-12-10,2018-02-22,4549,2018-02-27,14
6,2849010,3,2,110018,233,233,228,0,0.002051661450425046,110065,2017-09-08,2017-05-07,2018-02-07,4091,2018-03-02,13
7,2887783,11,2,110018,233,233,228,0,0.002051661450425046,110092,2018-02-02,2017-09-22,2018-02-19,4095,2018-02-26,16
8,2941799,0,21,110015,233,233,131,1,0.002051661450425046,124001,2017-12-31,2017-06-26,2018-03-05,4580,2018-03-14,11
9,2973976,0,22,400104,233,233,131,0,0.002051661450425046,400011,2017-05-22,2018-03-26,2018-03-13,4581,2018-03-17,12
10,2977421,19,2,110018,233,233,131,0,0.002051661450425046,110006,2017-12-31,2017-12-25,2018-03-13,4154,2018-03-19,17
11,2982990,0,26,560066,233,233,131,0,0.002051661450425046,600097,2017-06-12,2017-06-10,2018-03-15,5001,2018-03-20,10
12,2979785,1,2,110018,233,233,131,0,0.002051661450425046,201301,2017-10-24,2017-10-21,2018-03-14,4388,2018-03-20,12
13,2984029,17,1,400059,233,233,131,1,0.002051661450425046,440027,2018-02-25,2018-02-13,2018-03-15,4011,2018-03-19,18
14,3012909,5,2,110018,233,233,131,0,0.002051661450425046,201301,2017-11-18,2017-07-11,2018-03-24,4148,2018-03-29,13
15,3030307,1,27,110034,233,233,131,0,0.002051661450425046,110092,2017-11-16,2017-08-25,2018-03-28,4388,2018-03-31,12
16,3048314,0,7,500004,233,233,131,0,0.002051661450425046,500011,2018-02-07,2017-04-25,2018-04-02,4403,2018-04-10,10
17,3060524,3,2,110018,233,233,228,0,0.002051661450425046,110029,2018-03-15,2018-02-08,2018-04-06,4094,2018-04-12,14
18,3064259,0,21,110015,233,233,131,1,0.002051661450425046,124001,2017-05-05,2017-05-02,2018-04-07,4580,2018-04-17,11
19,3057867,3,2,110018,308,233,228,0,0.002051661450425046,110092,2018-03-18,2018-03-18,2018-04-05,4550,2018-04-16,11
20,2870652,1,3,560011,233,245,228,0,0.002051661450425046,560102,2017-07-11,2016-08-05,2018-02-14,4460,2018-02-15,9
21,2920134,1,3,560011,233,245,131,0,0.002051661450425046,560062,2017-03-28,2017-03-27,2018-02-27,4460,2018-03-01,9
22,2866111,0,21,110015,233,233,131,0,0.002051661450425046,122002,2017-05-08,2017-05-05,2018-02-13,4580,2018-02-17,11
23,2908430,1,3,560011,233,233,131,1,0.002051661450425046,570029,2017-12-28,2017-12-28,2018-02-26,4460,2018-03-03,9
24,2920849,0,22,400104,233,233,131,1,0.002051661450425046,462043,2017-06-08,2017-06-03,2018-02-27,4581,2018-03-03,12
25,2884266,14,5,380009,233,245,131,0,0.002051661450425046,380008,2017-02-24,2017-02-22,2018-02-19,4039,2018-02-21,12
26,2819466,0,4,600024,233,233,131,1,0.002051661450425046,636016,2017-05-06,2017-06-16,2018-01-30,4490,2018-02-03,10
27,2858437,0,17,800001,233,233,131,0,0.002051661450425046,800001,2017-12-09,2017-09-23,2018-02-10,4538,2018-02-14,12
28,3050523,3,2,110018,308,233,131,0,0.002051661450425046,110027,2017-06-12,2017-05-31,2018-04-03,4550,2018-04-05,11
29,2876140,0,22,400104,233,245,131,1,0.002051661450425046,385001,2017-09-18,2017-09-09,2018-02-16,4581,2018-02-20,12
30,2824732,4,7,500004,233,233,131,0,0.002051661450425046,501505,2017-12-27,2017-12-27,2018-01-31,4474,2018-02-02,12
31,2839241,14,17,800001,233,233,131,2,0.002051661450425046,824124,2017-02-20,2017-02-17,2018-02-05,4538,2018-02-08,12
32,2868409,0,22,400104,233,233,131,0,0.002051661450425046,401101,2018-01-29,2018-01-27,2018-02-14,4581,2018-02-26,12
33,2907041,10,1,400059,233,233,131,0,0.002051661450425046,700029,2018-01-13,2017-11-14,2018-02-25,4511,2018-03-01,13
34,2844455,0,7,500004,233,233,131,1,0.002051661450425046,517501,2016-06-15,2016-06-13,2018-02-06,4403,2018-02-14,10
35,2867312,3,1,400059,233,233,131,0,0.002051661450425046,400104,2018-01-18,2018-01-18,2018-02-13,4545,2018-02-18,13
36,2972765,0,22,400104,0,233,131,4,0.002051661450425046,382022,2017-08-18,2017-08-17,2018-03-12,4581,2018-03-16,9
37,2983511,3,2,110018,233,233,131,0,0.002051661450425046,110037,2017-02-08,2017-02-03,2018-03-15,4550,2018-03-29,13
38,2857281,0,3,560011,233,233,131,0,0.002051661450425046,560037,2017-03-22,2017-03-22,2018-02-09,4467,2018-02-13,10
39,3051964,1,23,400001,233,233,131,0,0.002051661450425046,400052,2018-03-27,2018-03-18,2018-04-03,4398,2018-04-07,11
40,2981162,0,21,110015,233,233,131,0,0.002051661450425046,121004,2017-05-05,2017-05-03,2018-03-14,4580,2018-03-21,11
41,3014945,0,26,560066,201,233,131,4,0.002051661450425046,630606,2017-12-28,2017-08-01,2018-03-24,5001,2018-03-27,14
42,2999197,1,27,110034,233,233,131,0,0.002051661450425046,110095,2017-06-19,2017-06-16,2018-03-19,4388,2018-04-01,12
43,2829017,1,7,500004,233,233,131,0,0.002051661450425046,500019,2017-04-25,2017-03-28,2018-02-01,4474,2018-02-08,9
44,2848996,4,3,560011,233,233,131,0,0.002051661450425046,560026,2017-12-15,2017-12-15,2018-02-07,4460,2018-02-12,11
45,2870108,0,22,400104,233,233,131,1,0.002051661450425046,395006,2017-03-14,2017-03-09,2018-02-14,4581,2018-02-16,12
46,2859591,1,2,110018,233,233,131,0,0.002051661450425046,122017,2017-12-22,2017-07-13,2018-02-10,4388,2018-02-15,12
47,2861847,1,3,560011,233,233,228,0,0.002051661450425046,560093,2018-01-19,2017-07-09,2018-02-12,4460,2018-02-20,9
48,2880678,1,2,110018,233,233,228,0,0.002051661450425046,122017,2018-01-12,2017-02-23,2018-02-17,4388,2018-02-21,12
49,2872297,0,22,400104,233,233,131,2,0.002051661450425046,442605,2017-06-08,2017-06-07,2018-02-15,4581,2018-02-18,12
50,2930663,0,21,110015,233,233,131,2,0.002051661450425046,141115,2017-06-28,2017-04-14,2018-03-02,4580,2018-03-06,11
